epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2613,1.3161,3.21595,1.62327,0.00399,0.7963,0.12233,0.06859,1.52949,4.07906,1.8219,4e-05,4e-05,0.09604
2,19.8195,1.31591,2.71194,1.58165,0.00378,0.76389,0.21715,0.09874,1.90333,4.23165,2.02005,8.9109e-05,8.9109e-05,0.0910891
3,29.3571,1.34209,2.64984,1.47825,0.01452,0.75926,0.23005,0.11687,1.87256,4.11072,2.04106,0.000137228,0.000137228,0.0861372
4,39.0986,1.24032,2.12112,1.43601,0.00344,0.64352,0.16209,0.04158,1.92795,4.34684,2.37952,0.000184357,0.000184357,0.0811844
5,48.7639,1.35591,2.20582,1.49366,0.00274,0.56944,0.02104,0.00464,1.80997,4.34112,2.40886,0.000230496,0.000230496,0.0762305
6,58.6062,1.29326,2.12223,1.45843,0.00342,0.68981,0.16312,0.07421,1.60251,4.0898,2.11714,0.000275645,0.000275645,0.0712756
7,68.4788,1.26482,1.89598,1.41256,0.00468,0.72222,0.22995,0.12743,1.47936,3.82304,1.83529,0.000319804,0.000319804,0.0663198
8,78.3933,1.22111,1.71866,1.34947,0.0038,0.51852,0.18461,0.08257,1.59813,3.93952,1.9386,0.000362973,0.000362973,0.061363
9,88.205,1.26334,1.84886,1.38181,0.00371,0.43519,0.16341,0.08504,1.71037,3.93938,2.03577,0.000405152,0.000405152,0.0564052
10,98.3778,1.06699,1.43321,1.2414,0.0152,0.47222,0.22175,0.12375,1.57909,3.74858,1.93536,0.000446341,0.000446341,0.0514463
11,107.454,1.20386,1.46379,1.46751,0.91194,0.10481,0.21798,0.13776,1.72348,3.75208,2.01221,0.00048654,0.00048654,0.0464865
12,116.304,1.22086,1.50896,1.35065,0.65672,0.19444,0.17376,0.11552,1.79279,4.37459,2.18172,0.000525749,0.000525749,0.0415257
13,125.272,1.12854,1.42457,1.28999,0.58401,0.21285,0.19923,0.13159,1.7011,4.03932,2.02955,0.000563968,0.000563968,0.036564
14,133.996,1.13559,1.43627,1.34741,0.26917,0.26465,0.27489,0.16346,1.74553,2.90538,1.93902,0.000601197,0.000601197,0.0316012
15,142.908,1.23618,1.39794,1.32625,0.43812,0.34355,0.34274,0.20522,1.64878,2.46089,1.74524,0.000637436,0.000637436,0.0266374
16,151.757,1.21206,1.35637,1.34005,0.52331,0.43981,0.40015,0.25401,1.66794,2.35071,1.86421,0.000672685,0.000672685,0.0216727
17,160.698,1.19648,1.41485,1.33986,0.58329,0.42071,0.42347,0.25329,1.6749,2.24852,1.84276,0.000706944,0.000706944,0.0167069
18,169.736,1.04052,1.27121,1.17824,0.53357,0.43981,0.40892,0.2551,1.59051,2.45745,1.72518,0.000740213,0.000740213,0.0117402
19,178.694,1.05044,1.20717,1.26064,0.42303,0.40278,0.36748,0.23019,1.59451,2.97576,1.83577,0.000772492,0.000772492,0.00677249
20,187.617,1.13515,1.47623,1.4834,0.45724,0.48611,0.41056,0.24961,1.47582,2.75151,1.71063,0.000803781,0.000803781,0.00180378
21,196.483,1.09513,1.20993,1.2465,0.45724,0.48611,0.41056,0.24961,1.47582,2.75151,1.71063,0.000802,0.000802,0.000802
22,205.512,1.0791,1.26817,1.27504,0.52456,0.69784,0.59809,0.32922,1.53487,2.11608,1.72848,0.0007921,0.0007921,0.0007921
23,214.354,1.07138,1.29333,1.26088,0.56525,0.79167,0.60612,0.29231,1.63053,1.73592,1.77492,0.0007822,0.0007822,0.0007822
24,223.308,1.12916,1.48149,1.36898,0.51368,0.72814,0.59014,0.30372,1.52898,1.62837,1.62975,0.0007723,0.0007723,0.0007723
25,232.233,0.9603,1.14431,1.21946,0.40003,0.50463,0.54762,0.30553,1.43355,1.69536,1.51611,0.0007624,0.0007624,0.0007624
26,241.116,1.11278,1.32887,1.27005,0.37198,0.75463,0.53377,0.313,1.37918,1.77891,1.50855,0.0007525,0.0007525,0.0007525
27,250.177,1.0293,1.2048,1.19743,0.37198,0.75463,0.53377,0.313,1.37918,1.77891,1.50855,0.0007426,0.0007426,0.0007426
28,259.013,1.06542,1.20113,1.25894,0.46145,0.63261,0.59649,0.35217,1.39245,1.79638,1.52138,0.0007327,0.0007327,0.0007327
29,267.895,1.06255,1.24176,1.29291,0.4687,0.74802,0.68357,0.38369,1.41295,1.65337,1.52534,0.0007228,0.0007228,0.0007228
30,276.827,1.04151,1.17959,1.28862,0.53205,0.81934,0.72298,0.42991,1.40174,1.40052,1.50705,0.0007129,0.0007129,0.0007129
31,285.897,1.13175,1.34922,1.32903,0.52507,0.83333,0.74138,0.42882,1.44197,1.32037,1.5066,0.000703,0.000703,0.000703
32,294.985,0.96499,1.06362,1.16303,0.69035,0.75463,0.73374,0.43359,1.4513,1.33187,1.51526,0.0006931,0.0006931,0.0006931
33,303.867,0.90301,1.15043,1.21271,0.69035,0.75463,0.73374,0.43359,1.4513,1.33187,1.51526,0.0006832,0.0006832,0.0006832
34,313.335,0.92308,1.0864,1.21737,0.76864,0.71759,0.80293,0.43566,1.54293,1.42295,1.67467,0.0006733,0.0006733,0.0006733
35,322.263,1.01747,1.14075,1.32986,0.91771,0.62275,0.77088,0.42707,1.55935,1.52864,1.70669,0.0006634,0.0006634,0.0006634
36,331.198,0.91241,1.05755,1.23174,0.72962,0.69566,0.7757,0.44348,1.47427,1.5751,1.65146,0.0006535,0.0006535,0.0006535
37,340.191,1.01467,1.11132,1.18056,0.68094,0.59259,0.66021,0.37847,1.43453,1.61551,1.58321,0.0006436,0.0006436,0.0006436
38,349.208,0.90416,1.04355,1.11301,0.4848,0.67593,0.58592,0.34615,1.46015,1.75564,1.52589,0.0006337,0.0006337,0.0006337
39,358.126,0.92762,1.096,1.24566,0.4848,0.67593,0.58592,0.34615,1.46015,1.75564,1.52589,0.0006238,0.0006238,0.0006238
40,367.09,0.85885,0.98735,1.14459,0.50304,0.7753,0.66033,0.38263,1.49034,1.61914,1.53409,0.0006139,0.0006139,0.0006139
41,376.051,0.8782,1.02898,1.17844,0.80736,0.55093,0.73428,0.40386,1.53524,1.40768,1.57555,0.000604,0.000604,0.000604
42,385.027,0.94108,1.00473,1.16804,0.81194,0.54858,0.74441,0.40825,1.54465,1.37843,1.60313,0.0005941,0.0005941,0.0005941
43,394.049,1.01435,1.06855,1.24637,0.84421,0.55018,0.7433,0.39585,1.55155,1.45224,1.6251,0.0005842,0.0005842,0.0005842
44,403.119,0.95152,0.85462,1.15443,0.83073,0.58796,0.7171,0.3861,1.54102,1.46462,1.62747,0.0005743,0.0005743,0.0005743
45,412.012,0.87018,1.15519,1.1542,0.83073,0.58796,0.7171,0.3861,1.54102,1.46462,1.62747,0.0005644,0.0005644,0.0005644
46,421.05,0.842,0.94482,1.0831,0.74784,0.58515,0.72164,0.38686,1.53691,1.46348,1.62234,0.0005545,0.0005545,0.0005545
47,430.063,0.77897,0.82379,1.06983,0.732,0.61297,0.7215,0.38978,1.49685,1.43406,1.60264,0.0005446,0.0005446,0.0005446
48,439.112,1.00325,1.19258,1.21803,0.81881,0.59885,0.70842,0.39277,1.49915,1.49929,1.61813,0.0005347,0.0005347,0.0005347
49,448.111,0.73507,0.82075,1.05746,0.64935,0.63426,0.65318,0.36496,1.49055,1.67129,1.62555,0.0005248,0.0005248,0.0005248
50,457.113,0.84173,1.02484,1.10988,0.79254,0.5184,0.61123,0.34999,1.52405,1.78712,1.5944,0.0005149,0.0005149,0.0005149
51,466.068,0.83055,0.90884,1.10732,0.79254,0.5184,0.61123,0.34999,1.52405,1.78712,1.5944,0.000505,0.000505,0.000505
52,475.048,0.86014,0.85153,1.15808,0.78493,0.51543,0.58361,0.33614,1.52683,1.9325,1.57877,0.0004951,0.0004951,0.0004951
53,484.044,0.81291,0.87388,1.13864,0.71481,0.59365,0.59343,0.33697,1.52164,1.98735,1.58032,0.0004852,0.0004852,0.0004852
54,493.031,0.80336,0.82998,1.10072,0.73285,0.55702,0.57373,0.32879,1.50456,1.97791,1.57632,0.0004753,0.0004753,0.0004753
55,502.073,0.73873,0.83046,1.07311,0.75208,0.56019,0.58065,0.31469,1.52586,1.9872,1.58652,0.0004654,0.0004654,0.0004654
56,511.088,0.77246,0.7667,1.06962,0.7595,0.5567,0.59814,0.33998,1.53266,1.895,1.6155,0.0004555,0.0004555,0.0004555
57,520.072,0.77257,0.77335,1.07715,0.7595,0.5567,0.59814,0.33998,1.53266,1.895,1.6155,0.0004456,0.0004456,0.0004456
58,529.08,0.90067,0.8794,1.1018,0.77053,0.58654,0.66952,0.3777,1.55188,1.74759,1.64015,0.0004357,0.0004357,0.0004357
59,538.034,0.78843,0.83205,1.10429,0.796,0.51389,0.65294,0.37561,1.50902,1.60563,1.619,0.0004258,0.0004258,0.0004258
60,547.041,0.7064,0.76302,1.03206,0.6584,0.63426,0.68251,0.38392,1.51034,1.52834,1.63674,0.0004159,0.0004159,0.0004159
